rating,sentimen,topic,topic_label,topic_conf,review_text
1,negatif,3,Hambatan Penggunaan & Kinerja Aplikasi,0.947773128147319,"Aplikasi TERLALU BUSUK, Muter"", cm ngisi fo form doang, masa form domisili gak bs di isi, aneh sekali, buang"" waktu. pake Aplikasi bukan tambah mudah malah tambah Rumit, dahlah 3.1 rate sudah menjelaskan jeleknya aplikasi ini."
1,negatif,3,Hambatan Penggunaan & Kinerja Aplikasi,0.8482352938157116,aplikasi apaan buang2 anggaran doang ga efektif
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.5613163360974776,kenapa apk ini tidak bisa dibuka?
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.8081024050617279,tidak bisa terbuka aplikasinya
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.5701230406026252,susah mau masuk aplikasi mental terus
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.8081024442441366,aplikasi tidak bisa ke buka di vivo1901
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.46121280203075893,mental di buka
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.8081024442441366,aplikasi tak bisa d buka
1,negatif,2,Update Loop & Ketergantungan Play Store,0.8393652208235607,"aplikasi buruk, tidak bisa digunakan karena tertutup saat dibuka"
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.25,menyg
2,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.6110033734028769,"Aplksi jelek sekali, sering keluar sendiri dn hrus instal ulang terus Ini bgmna mohon solusinya"
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.6202551468121407,ngga bisa di buka woy
1,negatif,1,Masalah Pendaftaran & Login Pengguna,0.532756796990568,apknya gakbisa dibuka sama sekali cuman bisa daftar aja habis itu ya sudah tidak bisa di apa-apakan lagi. sangat bermanfaat sekali pokoknya
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.8077970569319383,tidak bisa masuk aplikasi
1,negatif,3,Hambatan Penggunaan & Kinerja Aplikasi,0.5742633402064095,nge bug bamget.. d hape vivo v19 . macet aplikasi nya. tolong d perbaiki..
2,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.552578265362883,saya gak bisa masuk .buka langsung macet. solusinya gimana .yuser em dikasih bkkbn TPI aplikasi ini gak bisa
1,negatif,1,Masalah Pendaftaran & Login Pengguna,0.8074464362390876,"pusing bgtt, masa gbisa login... haduh"
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.5438869012854979,berkali kali diinstal hapus instal lagi tetep ga bisa kebuka. tolong dipermudah biar TPK bisa melakukan tugasnya dengan lancar. Jangan terkendala aplikasi yang tidak support di hp. Karena tidak semua orang hpnya baru dan bagus.
1,negatif,3,Hambatan Penggunaan & Kinerja Aplikasi,0.5089148111352773,aplikasi sama sekali gak bisa dibuka. dikit dikit harus pake aplikasi tapi aplikasinya jelek luar biasa
1,negatif,3,Hambatan Penggunaan & Kinerja Aplikasi,0.7478541120123324,ngebug banget.....
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.25,sering forclose
1,negatif,1,Masalah Pendaftaran & Login Pengguna,0.3388666983538401,kalo butuh vendor pembuat aplikasi yg jauh lebih canggih monggo langsung email saya saja.. daripada aplikasi ga guna gini..
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.6202551468121407,tidak bisa dibuka
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.7731708088574497,"aplikasi tol, sudah berkali kali mencoba masuk tapi keluar keluar terus, sekalinya bisa masuk, pas buat akun malah di tahap biodata di bagian nama dan tglkahir tidak bisa di pencet."
1,negatif,0,Kegagalan Akses Awal & Pembukaan Aplikasi,0.7496577762861,"Tolong diperbaiki yaaa, kenapa tiap masuk langsung tiba-tiba keluar dari aplikasi. Dicoba berulang kali tetap begitu. Mohon diperbaiki, terimakasih🙏🏻"
